312. sec: +0.6, ay: +0.7742, gx: -0.8470, angle: -12
313. sec: +0.6, ay: +0.7727, gx: -0.8571, angle: -12
314. sec: +0.6, ay: +0.7742, gx: -0.8725, angle: -12
315. sec: +0.6, ay: +0.7761, gx: -0.8961, angle: -12
316. sec: +0.6, ay: +0.7803, gx: -0.9137, angle: -12
317. sec: +0.6, ay: +0.7798, gx: -0.9290, angle: -12
318. sec: +0.6, ay: +0.7859, gx: -0.9388, angle: -11
319. sec: +0.6, ay: +0.7893, gx: -0.9464, angle: -11
320. sec: +0.6, ay: +0.7835, gx: -0.9422, angle: -11
321. sec: +0.6, ay: +0.7815, gx: -0.9373, angle: -11
322. sec: +0.6, ay: +0.7849, gx: -0.9212, angle: -11
323. sec: +0.6, ay: +0.7613, gx: -0.8999, angle: -11
324. sec: +0.6, ay: +0.7532, gx: -0.8788, angle: -11
325. sec: +0.6, ay: +0.7449, gx: -0.8567, angle: -11
326. sec: +0.6, ay: +0.7280, gx: -0.8364, angle: -11
327. sec: +0.6, ay: +0.7178, gx: -0.8194, angle: -11
328. sec: +0.6, ay: +0.7163, gx: -0.8150, angle: -11
329. sec: +0.6, ay: +0.6968, gx: -0.8141, angle: -10
330. sec: +0.6, ay: +0.6839, gx: -0.8268, angle: -10
331. sec: +0.6, ay: +0.6697, gx: -0.8464, angle: -10
332. sec: +0.6, ay: +0.6572, gx: -0.8789, angle: -10
333. sec: +0.6, ay: +0.6572, gx: -0.8929, angle: -10
334. sec: +0.6, ay: +0.6416, gx: -0.9838, angle: -10
335. sec: +0.6, ay: +0.6194, gx: -1.0276, angle: -10
336. sec: +0.6, ay: +0.6038, gx: -1.1048, angle: -10
337. sec: +0.6, ay: +0.5984, gx: -1.2209, angle: -10
338. sec: +0.6, ay: +0.5655, gx: -1.2828, angle: -10
339. sec: +0.6, ay: +0.5242, gx: -1.3808, angle: -9
340. sec: +0.6, ay: +0.4878, gx: -1.4846, angle: -9
341. sec: +0.6, ay: +0.4678, gx: -1.6097, angle: -9
342. sec: +0.6, ay: +0.4238, gx: -1.7649, angle: -9
343. sec: +0.6, ay: +0.3911, gx: -1.8726, angle: -9
344. sec: +0.6, ay: +0.3350, gx: -1.9789, angle: -8
345. sec: +0.6, ay: +0.2779, gx: -2.1736, angle: -8
346. sec: +0.6, ay: +0.2520, gx: -2.3262, angle: -8
