272. sec: +0.5, ay: -0.5326, gx: -0.6728, angle: 24
273. sec: +0.5, ay: -0.5333, gx: -0.7161, angle: 24
274. sec: +0.5, ay: -0.5319, gx: -0.7207, angle: 24
275. sec: +0.5, ay: -0.5294, gx: -0.7213, angle: 24
276. sec: +0.5, ay: -0.5199, gx: -0.7229, angle: 24
277. sec: +0.5, ay: -0.5165, gx: -0.7309, angle: 24
278. sec: +0.5, ay: -0.5138, gx: -0.7346, angle: 24
279. sec: +0.5, ay: -0.5250, gx: -0.7318, angle: 25
280. sec: +0.5, ay: -0.5343, gx: -0.7283, angle: 25
281. sec: +0.5, ay: -0.5219, gx: -0.7253, angle: 25
282. sec: +0.5, ay: -0.5514, gx: -0.7085, angle: 25
283. sec: +0.5, ay: -0.5616, gx: -0.6765, angle: 25
284. sec: +0.5, ay: -0.5233, gx: -0.6696, angle: 25
285. sec: +0.5, ay: -0.5424, gx: -0.5922, angle: 25
286. sec: +0.5, ay: -0.5465, gx: -0.5522, angle: 25
287. sec: +0.5, ay: -0.5372, gx: -0.5064, angle: 25
288. sec: +0.5, ay: -0.5287, gx: -0.4701, angle: 25
289. sec: +0.5, ay: -0.5231, gx: -0.4402, angle: 25
290. sec: +0.5, ay: -0.5087, gx: -0.4200, angle: 25
291. sec: +0.5, ay: -0.5074, gx: -0.4031, angle: 25
292. sec: +0.5, ay: -0.5011, gx: -0.3895, angle: 25
293. sec: +0.5, ay: -0.5031, gx: -0.3811, angle: 25
294. sec: +0.5, ay: -0.5048, gx: -0.3790, angle: 25
295. sec: +0.5, ay: -0.5055, gx: -0.3749, angle: 25
296. sec: +0.5, ay: -0.4987, gx: -0.3773, angle: 25
297. sec: +0.5, ay: -0.5016, gx: -0.3694, angle: 25
298. sec: +0.5, ay: -0.5070, gx: -0.3680, angle: 26
299. sec: +0.5, ay: -0.5162, gx: -0.3570, angle: 26
300. sec: +0.5, ay: -0.5172, gx: -0.3410, angle: 26
301. sec: +0.5, ay: -0.5231, gx: -0.3167, angle: 26
302. sec: +0.5, ay: -0.5299, gx: -0.2975, angle: 26
303. sec: +0.5, ay: -0.5336, gx: -0.2754, angle: 26
304. sec: +0.5, ay: -0.5524, gx: -0.2456, angle: 26
305. sec: +0.5, ay: -0.5326, gx: -0.2592, angle: 26
306. sec: +0.5, ay: -0.5294, gx: -0.2035, angle: 26
307. sec: +0.6, ay: -0.5450, gx: -0.1876, angle: 26
308. sec: +0.6, ay: -0.5429, gx: -0.1774, angle: 26
309. sec: +0.6, ay: -0.5438, gx: -0.1661, angle: 26
310. sec: +0.6, ay: -0.5446, gx: -0.1561, angle: 26
311. sec: +0.6, ay: -0.5429, gx: -0.1545, angle: 26
312. sec: +0.6, ay: -0.5419, gx: -0.1536, angle: 26
313. sec: +0.6, ay: -0.5494, gx: -0.1614, angle: 26
314. sec: +0.6, ay: -0.5258, gx: -0.1713, angle: 26
315. sec: +0.6, ay: -0.5250, gx: -0.1821, angle: 26
316. sec: +0.6, ay: -0.5258, gx: -0.1596, angle: 26
317. sec: +0.6, ay: -0.5214, gx: -0.2014, angle: 26
318. sec: +0.6, ay: -0.5099, gx: -0.2146, angle: 26
319. sec: +0.6, ay: -0.5128, gx: -0.2333, angle: 26
320. sec: +0.6, ay: -0.4913, gx: -0.2510, angle: 26
321. sec: +0.6, ay: -0.4933, gx: -0.2606, angle: 26
322. sec: +0.6, ay: -0.4940, gx: -0.2734, angle: 26
323. sec: +0.6, ay: -0.4930, gx: -0.2732, angle: 26
324. sec: +0.6, ay: -0.4943, gx: -0.2628, angle: 26
325. sec: +0.6, ay: -0.5282, gx: -0.2346, angle: 26
326. sec: +0.6, ay: -0.5221, gx: -0.2267, angle: 26
327. sec: +0.6, ay: -0.5311, gx: -0.1421, angle: 26
328. sec: +0.6, ay: -0.5114, gx: -0.1012, angle: 26
329. sec: +0.6, ay: -0.5145, gx: -0.0635, angle: 26
330. sec: +0.6, ay: -0.4984, gx: -0.0247, angle: 26
331. sec: +0.6, ay: -0.5055, gx: +0.0103, angle: 26
332. sec: +0.6, ay: -0.5011, gx: +0.0429, angle: 26
333. sec: +0.6, ay: -0.4960, gx: +0.0741, angle: 26
334. sec: +0.6, ay: -0.4977, gx: +0.0988, angle: 26
335. sec: +0.6, ay: -0.4987, gx: +0.1242, angle: 26
336. sec: +0.6, ay: -0.4899, gx: +0.1175, angle: 26
337. sec: +0.6, ay: -0.4923, gx: +0.1700, angle: 26
338. sec: +0.6, ay: -0.5043, gx: +0.1962, angle: 26
339. sec: +0.6, ay: -0.4860, gx: +0.2233, angle: 26
340. sec: +0.6, ay: -0.4816, gx: +0.2393, angle: 26
341. sec: +0.6, ay: -0.5060, gx: +0.2669, angle: 26
342. sec: +0.6, ay: -0.5031, gx: +0.2901, angle: 26
343. sec: +0.6, ay: -0.5087, gx: +0.3017, angle: 26
344. sec: +0.6, ay: -0.5043, gx: +0.3113, angle: 26
345. sec: +0.6, ay: -0.4806, gx: +0.3097, angle: 26
346. sec: +0.6, ay: -0.4806, gx: +0.3065, angle: 26
347. sec: +0.6, ay: -0.4677, gx: +0.3055, angle: 26
348. sec: +0.6, ay: -0.4718, gx: +0.3034, angle: 26
349. sec: +0.6, ay: -0.4779, gx: +0.3121, angle: 26
350. sec: +0.6, ay: -0.4921, gx: +0.3215, angle: 26
351. sec: +0.6, ay: -0.4874, gx: +0.3294, angle: 26
352. sec: +0.6, ay: -0.5006, gx: +0.3478, angle: 26
353. sec: +0.6, ay: -0.5270, gx: +0.3745, angle: 26
354. sec: +0.6, ay: -0.5646, gx: +0.4077, angle: 26
355. sec: +0.6, ay: -0.5385, gx: +0.4446, angle: 26
356. sec: +0.6, ay: -0.5387, gx: +0.4591, angle: 26
357. sec: +0.6, ay: -0.5477, gx: +0.5352, angle: 25
358. sec: +0.6, ay: -0.5490, gx: +0.5729, angle: 25
359. sec: +0.6, ay: -0.5516, gx: +0.6130, angle: 25
360. sec: +0.6, ay: -0.5602, gx: +0.6370, angle: 25
361. sec: +0.6, ay: -0.5607, gx: +0.6545, angle: 25
362. sec: +0.6, ay: -0.5587, gx: +0.6669, angle: 25
363. sec: +0.7, ay: -0.5509, gx: +0.6727, angle: 25
364. sec: +0.7, ay: -0.5382, gx: +0.6824, angle: 25
365. sec: +0.7, ay: -0.5438, gx: +0.6827, angle: 25
366. sec: +0.7, ay: -0.5377, gx: +0.6743, angle: 25
367. sec: +0.7, ay: -0.5277, gx: +0.6633, angle: 25
368. sec: +0.7, ay: -0.5184, gx: +0.6930, angle: 25
369. sec: +0.7, ay: -0.5221, gx: +0.6505, angle: 25
370. sec: +0.7, ay: -0.5182, gx: +0.6366, angle: 25
371. sec: +0.7, ay: -0.5294, gx: +0.6582, angle: 25
372. sec: +0.7, ay: -0.5211, gx: +0.6134, angle: 24
373. sec: +0.7, ay: -0.5363, gx: +0.5978, angle: 24
374. sec: +0.7, ay: -0.5109, gx: +0.5879, angle: 24
375. sec: +0.7, ay: -0.5004, gx: +0.5735, angle: 24
376. sec: +0.7, ay: -0.5023, gx: +0.5904, angle: 24
377. sec: +0.7, ay: -0.5023, gx: +0.5434, angle: 24
378. sec: +0.7, ay: -0.4974, gx: +0.5259, angle: 24
379. sec: +0.7, ay: -0.4869, gx: +0.5115, angle: 24
380. sec: +0.7, ay: -0.4843, gx: +0.4993, angle: 24
381. sec: +0.7, ay: -0.4835, gx: +0.4818, angle: 24
382. sec: +0.7, ay: -0.4825, gx: +0.4690, angle: 24
383. sec: +0.7, ay: -0.4808, gx: +0.4630, angle: 24
384. sec: +0.7, ay: -0.4606, gx: +0.4560, angle: 24
385. sec: +0.7, ay: -0.4769, gx: +0.4513, angle: 24
386. sec: +0.7, ay: -0.4711, gx: +0.4437, angle: 24
387. sec: +0.7, ay: -0.4515, gx: +0.4496, angle: 24
388. sec: +0.7, ay: -0.4518, gx: +0.4441, angle: 24
389. sec: +0.7, ay: -0.4249, gx: +0.4514, angle: 24
390. sec: +0.7, ay: -0.4215, gx: +0.4591, angle: 24
391. sec: +0.7, ay: -0.4183, gx: +0.4731, angle: 24
392. sec: +0.7, ay: -0.4154, gx: +0.4967, angle: 23
393. sec: +0.7, ay: -0.4157, gx: +0.4914, angle: 23
394. sec: +0.7, ay: -0.4191, gx: +0.5529, angle: 23
395. sec: +0.7, ay: -0.4157, gx: +0.5898, angle: 23
396. sec: +0.7, ay: -0.4200, gx: +0.5937, angle: 23
397. sec: +0.7, ay: -0.4215, gx: +0.6714, angle: 23
398. sec: +0.7, ay: -0.4266, gx: +0.7136, angle: 23
399. sec: +0.7, ay: -0.4308, gx: +0.7349, angle: 23
400. sec: +0.7, ay: -0.4257, gx: +0.8214, angle: 23
401. sec: +0.7, ay: -0.4213, gx: +0.8378, angle: 23
402. sec: +0.7, ay: -0.4127, gx: +0.9175, angle: 23
403. sec: +0.7, ay: -0.4047, gx: +0.9365, angle: 23
404. sec: +0.7, ay: -0.3995, gx: +1.0171, angle: 23
405. sec: +0.7, ay: -0.4056, gx: +1.0582, angle: 22
406. sec: +0.7, ay: -0.4117, gx: +1.0995, angle: 22
407. sec: +0.7, ay: -0.4274, gx: +1.1040, angle: 22
408. sec: +0.7, ay: -0.4381, gx: +1.1458, angle: 22
409. sec: +0.7, ay: -0.4440, gx: +1.2156, angle: 22
410. sec: +0.7, ay: -0.4672, gx: +1.2516, angle: 22
