592. ay:-0.0046, gx:+0.0139
593. ay:-0.0066, gx:+0.0132
594. ay:-0.0056, gx:+0.0163
595. ay:-0.0046, gx:+0.0172
596. ay:-0.0020, gx:+0.0128
597. ay:-0.0039, gx:+0.0143
598. ay:-0.0012, gx:+0.0127
599. ay:-0.0078, gx:+0.0180
600. ay:-0.0024, gx:+0.0152
601. ay:-0.0066, gx:+0.0161
602. ay:-0.0115, gx:+0.0176
603. ay:-0.0110, gx:+0.0132
604. ay:-0.0073, gx:+0.0119
605. ay:-0.0027, gx:+0.0168
606. ay:-0.0054, gx:+0.0172
607. ay:-0.0088, gx:+0.0129
608. ay:-0.0039, gx:+0.0169
609. ay:-0.0063, gx:+0.0156
610. ay:-0.0083, gx:+0.0176
611. ay:-0.0039, gx:+0.0185
612. ay:-0.0083, gx:+0.0115
613. ay:-0.0029, gx:+0.0163
614. ay:-0.0046, gx:+0.0135
615. ay:-0.0042, gx:+0.0141
616. ay:-0.0032, gx:+0.0136
617. ay:-0.0085, gx:+0.0128
618. ay:-0.0085, gx:+0.0143
619. ay:-0.0137, gx:+0.0141
620. ay:-0.0059, gx:+0.0112
621. ay:-0.0137, gx:+0.0153
622. ay:-0.0066, gx:+0.0153
623. ay:-0.0046, gx:+0.0148
624. ay:-0.0071, gx:+0.0141
625. ay:-0.0051, gx:+0.0173
626. ay:-0.0139, gx:+0.0145
627. ay:-0.0098, gx:+0.0155
628. ay:-0.0029, gx:+0.0164
629. ay:-0.0068, gx:+0.0151
630. ay:-0.0103, gx:+0.0121
631. ay:-0.0012, gx:+0.0156
632. ay:-0.0017, gx:+0.0139
633. ay:-0.0024, gx:+0.0149
634. ay:-0.0085, gx:+0.0143
635. ay:-0.0029, gx:+0.0129
636. ay:+0.0088, gx:+0.0111
637. ay:-0.0095, gx:+0.0141
638. ay:-0.0076, gx:+0.0165
639. ay:-0.0056, gx:+0.0159
640. ay:-0.0046, gx:+0.0181
641. ay:-0.0068, gx:+0.0137
642. ay:-0.0066, gx:+0.0143
643. ay:-0.0076, gx:+0.0143
644. ay:-0.0073, gx:+0.0144
645. ay:-0.0112, gx:+0.0159
646. ay:-0.0098, gx:+0.0177
647. ay:-0.0054, gx:+0.0133
648. ay:-0.0049, gx:+0.0144
649. ay:-0.0073, gx:+0.0149
650. ay:-0.0071, gx:+0.0151
651. ay:-0.0117, gx:+0.0159
652. ay:-0.0029, gx:+0.0105
653. ay:-0.0032, gx:+0.0128
654. ay:-0.0073, gx:+0.0105
655. ay:-0.0090, gx:+0.0124
656. ay:-0.0088, gx:+0.0163
657. ay:-0.0046, gx:+0.0155
658. ay:-0.0090, gx:+0.0101
659. ay:-0.0068, gx:+0.0125
660. ay:-0.0100, gx:+0.0149
661. ay:-0.0007, gx:+0.0160
662. ay:-0.0110, gx:+0.0160
663. ay:-0.0115, gx:+0.0157
664. ay:-0.0049, gx:+0.0149
665. ay:-0.0056, gx:+0.0131
666. ay:-0.0051, gx:+0.0145
667. ay:-0.0083, gx:+0.0117
668. ay:-0.0088, gx:+0.0123
669. ay:-0.0049, gx:+0.0184
670. ay:-0.0051, gx:+0.0183
671. ay:-0.0088, gx:+0.0119
672. ay:-0.0105, gx:+0.0123
673. ay:-0.0056, gx:+0.0140
674. ay:-0.0071, gx:+0.0169
675. ay:-0.0029, gx:+0.0129
676. ay:-0.0049, gx:+0.0121
677. ay:-0.0083, gx:+0.0132
678. ay:-0.0122, gx:+0.0187
679. ay:-0.0012, gx:+0.0155
680. ay:-0.0142, gx:+0.0145
681. ay:-0.0081, gx:+0.0152
682. ay:-0.0068, gx:+0.0157
683. ay:-0.0010, gx:+0.0139
684. ay:-0.0107, gx:+0.0177
685. ay:-0.0088, gx:+0.0151
686. ay:-0.0071, gx:+0.0173
687. ay:-0.0103, gx:+0.0152
688. ay:-0.0068, gx:+0.0161
689. ay:-0.0095, gx:+0.0145
690. ay:-0.0112, gx:+0.0168
691. ay:-0.0103, gx:+0.0157
692. ay:-0.0059, gx:+0.0148
693. ay:-0.0017, gx:+0.0115
694. ay:-0.0068, gx:+0.0132
695. ay:-0.0076, gx:+0.0168
696. ay:-0.0093, gx:+0.0127
697. ay:-0.0068, gx:+0.0155
698. ay:-0.0063, gx:+0.0171
