196. sec: +0.4, ay: -0.0576, gx: -0.0897, angle: 0
197. sec: +0.4, ay: -0.0320, gx: -0.0890, angle: 0
198. sec: +0.4, ay: -0.0293, gx: -0.0873, angle: 0
199. sec: +0.4, ay: -0.0391, gx: -0.0890, angle: 0
200. sec: +0.4, ay: -0.0227, gx: -0.0903, angle: 0
201. sec: +0.4, ay: -0.0061, gx: -0.0967, angle: 0
202. sec: +0.4, ay: -0.0146, gx: -0.1090, angle: 0
203. sec: +0.4, ay: -0.0020, gx: -0.1248, angle: 0
204. sec: +0.4, ay: +0.0083, gx: -0.1436, angle: 0
205. sec: +0.4, ay: -0.0071, gx: -0.1613, angle: 0
206. sec: +0.4, ay: -0.0042, gx: -0.1716, angle: 0
207. sec: +0.4, ay: -0.0222, gx: -0.1853, angle: 0
208. sec: +0.4, ay: -0.0317, gx: -0.1763, angle: 0
209. sec: +0.4, ay: -0.0383, gx: -0.2261, angle: 0
210. sec: +0.4, ay: -0.0410, gx: -0.2068, angle: 0
211. sec: +0.4, ay: -0.0432, gx: -0.2601, angle: 0
212. sec: +0.4, ay: -0.0356, gx: -0.2870, angle: 0
213. sec: +0.4, ay: -0.0349, gx: -0.3146, angle: 0
214. sec: +0.4, ay: -0.0193, gx: -0.3126, angle: 0
215. sec: +0.4, ay: -0.0273, gx: -0.3705, angle: 0
216. sec: +0.4, ay: -0.0164, gx: -0.3910, angle: 0
217. sec: +0.4, ay: -0.0198, gx: -0.4045, angle: 0
218. sec: +0.4, ay: -0.0393, gx: -0.4173, angle: 0
219. sec: +0.4, ay: -0.0391, gx: -0.4255, angle: 0
220. sec: +0.4, ay: -0.0444, gx: -0.4307, angle: 0
221. sec: +0.4, ay: -0.0759, gx: -0.4257, angle: 0
222. sec: +0.4, ay: -0.0874, gx: -0.4028, angle: 1
223. sec: +0.4, ay: -0.1143, gx: -0.3778, angle: 1
224. sec: +0.4, ay: -0.1321, gx: -0.3623, angle: 1
225. sec: +0.4, ay: -0.1370, gx: -0.3499, angle: 1
